Invoice ID,Branch,City,Customer type,Gender,Product line,Date,MonthName,Payment,Rating,Unit price,Quantity,Total Sales
750-67-8428,A,Yangon,Member,Female,Health and beauty,05-01-2019,January,Ewallet,9.1,74.69,7,548.9715
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,08-03-2019,March,Cash,9.6,15.28,5,80.22
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,03-03-2019,March,Credit card,7.4,46.33,7,340.5255
123-19-1176,A,Yangon,Member,Male,Health and beauty,27-01-2019,January,Ewallet,8.4,58.22,8,489.048
373-73-7910,A,Yangon,Normal,Male,Sports and travel,08-02-2019,February,Ewallet,5.3,86.31,7,634.3785
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,25-03-2019,March,Ewallet,4.1,85.39,7,627.6165
355-53-5943,A,Yangon,Member,Female,Electronic accessories,25-02-2019,February,Ewallet,5.8,68.84,6,433.692
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,24-02-2019,February,Ewallet,8,73.56,10,772.38
665-32-9167,A,Yangon,Member,Female,Health and beauty,10-01-2019,January,Credit card,7.2,36.26,2,76.146
692-92-5582,B,Mandalay,Member,Female,Food and beverages,20-02-2019,February,Credit card,5.9,54.84,3,172.746
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,06-02-2019,February,Ewallet,4.5,14.48,4,60.816
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,09-03-2019,March,Cash,6.8,25.51,4,107.142
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,12-02-2019,February,Ewallet,7.1,46.95,5,246.4875
252-56-2699,A,Yangon,Normal,Male,Food and beverages,07-02-2019,February,Ewallet,8.2,43.19,10,453.495
829-34-3910,A,Yangon,Normal,Female,Health and beauty,29-03-2019,March,Cash,5.7,71.38,10,749.49
299-46-1805,B,Mandalay,Member,Female,Sports and travel,15-01-2019,January,Cash,4.5,93.72,6,590.436
656-95-9349,A,Yangon,Member,Female,Health and beauty,11-03-2019,March,Credit card,4.6,68.93,7,506.6355
765-26-6951,A,Yangon,Normal,Male,Sports and travel,01-01-2019,January,Credit card,6.9,72.61,6,457.443
329-62-1586,A,Yangon,Normal,Male,Food and beverages,21-01-2019,January,Credit card,8.6,54.67,3,172.2105
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,11-03-2019,March,Ewallet,4.4,40.3,2,84.63
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,25-02-2019,February,Ewallet,4.8,86.04,5,451.71
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,05-03-2019,March,Ewallet,5.1,87.98,3,277.137
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,15-03-2019,March,Credit card,4.4,33.2,2,69.72
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,17-02-2019,February,Ewallet,9.9,34.56,5,181.44
549-59-1358,A,Yangon,Member,Male,Sports and travel,02-03-2019,March,Ewallet,6,88.63,3,279.1845
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,22-03-2019,March,Credit card,8.5,52.59,8,441.756
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,08-02-2019,February,Cash,6.7,33.52,1,35.196
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,10-03-2019,March,Credit card,7.7,87.67,2,184.107
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,25-01-2019,January,Cash,9.6,88.36,5,463.89
848-62-7243,A,Yangon,Normal,Male,Health and beauty,15-03-2019,March,Cash,7.4,24.89,9,235.2105
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,25-02-2019,February,Credit card,4.8,94.13,5,494.1825
149-71-6266,B,Mandalay,Member,Male,Sports and travel,28-01-2019,January,Cash,4.5,78.07,9,737.7615
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,10-01-2019,January,Cash,5.1,83.78,8,703.752
595-11-5460,A,Yangon,Normal,Male,Health and beauty,15-03-2019,March,Credit card,5.1,96.58,2,202.818
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,06-02-2019,February,Ewallet,7.5,99.42,4,417.564
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,07-01-2019,January,Ewallet,6.8,68.12,1,71.526
129-29-8530,A,Yangon,Member,Male,Sports and travel,10-03-2019,March,Ewallet,7,62.62,5,328.755
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,15-01-2019,January,Ewallet,4.7,60.88,9,575.316
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,23-03-2019,March,Ewallet,7.6,54.92,8,461.328
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,03-03-2019,March,Cash,7.7,30.12,8,253.008
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,17-01-2019,January,Ewallet,7.9,86.72,1,91.056
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,02-02-2019,February,Cash,6.3,56.11,2,117.831
354-25-5821,B,Mandalay,Member,Female,Sports and travel,08-02-2019,February,Cash,5.6,69.12,6,435.456
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,04-03-2019,March,Cash,7.6,98.7,8,829.08
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,16-03-2019,March,Cash,7.2,15.37,2,32.277
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,09-03-2019,March,Cash,9.5,93.96,4,394.632
370-41-7321,B,Mandalay,Member,Male,Health and beauty,27-02-2019,February,Credit card,8.4,56.69,9,535.7205
727-46-3608,B,Mandalay,Member,Female,Food and beverages,06-02-2019,February,Ewallet,4.1,20.01,9,189.0945
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,10-02-2019,February,Credit card,8.1,18.93,6,119.259
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,19-03-2019,March,Ewallet,7.9,82.63,10,867.615
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,03-02-2019,February,Cash,9.5,91.4,7,671.79
162-48-8011,A,Yangon,Member,Female,Food and beverages,10-02-2019,February,Cash,8.5,44.59,5,234.0975
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,22-03-2019,March,Ewallet,6.5,17.87,4,75.054
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,25-01-2019,January,Credit card,6.1,15.43,1,16.2015
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,07-03-2019,March,Ewallet,6.5,16.16,2,33.936
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,28-02-2019,February,Cash,8.2,85.98,8,722.232
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,27-03-2019,March,Cash,5.8,44.34,2,93.114
635-40-6220,A,Yangon,Normal,Male,Health and beauty,07-02-2019,February,Ewallet,6.6,89.6,8,752.64
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,20-01-2019,January,Cash,5.4,72.35,10,759.675
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,12-03-2019,March,Cash,9.3,30.61,6,192.843
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,15-02-2019,February,Credit card,10,24.74,3,77.931
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,24-02-2019,February,Ewallet,7,55.73,6,351.099
347-34-2234,B,Mandalay,Member,Female,Sports and travel,03-02-2019,February,Ewallet,10,55.07,9,520.4115
199-75-8169,A,Yangon,Member,Male,Sports and travel,06-03-2019,March,Credit card,8.6,15.81,10,166.005
853-23-2453,B,Mandalay,Member,Male,Health and beauty,14-02-2019,February,Cash,7.6,75.74,4,318.108
877-22-3308,A,Yangon,Member,Male,Health and beauty,13-03-2019,March,Cash,5.8,15.87,10,166.635
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,10-02-2019,February,Ewallet,6.7,33.47,2,70.287
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,07-01-2019,January,Ewallet,9.9,97.61,6,614.943
232-11-3025,A,Yangon,Normal,Male,Sports and travel,24-01-2019,January,Cash,6.4,78.77,10,827.085
382-03-4532,A,Yangon,Member,Female,Health and beauty,02-02-2019,February,Cash,4.3,18.33,1,19.2465
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,06-01-2019,January,Credit card,9.6,89.48,10,939.54
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,11-02-2019,February,Cash,5.9,62.12,10,652.26
510-95-6347,B,Mandalay,Member,Female,Food and beverages,05-03-2019,March,Ewallet,4,48.52,3,152.838
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,09-03-2019,March,Cash,8.7,75.91,6,478.233
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,22-01-2019,January,Ewallet,9.4,74.67,9,705.6315
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,13-01-2019,January,Credit card,5.4,41.65,10,437.325
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,09-01-2019,January,Credit card,8.6,49.04,9,463.428
381-20-0914,A,Yangon,Member,Female,Fashion accessories,12-01-2019,January,Credit card,5.7,20.01,9,189.0945
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,05-03-2019,March,Ewallet,6.6,78.31,10,822.255
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,22-01-2019,January,Cash,6,20.38,5,106.995
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,21-01-2019,January,Credit card,5.5,99.19,6,624.897
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,26-01-2019,January,Ewallet,6.4,96.68,3,304.542
